,name,company,year,Price,kms_driven,fuel_type,Unnamed: 6
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel,
2,Hyundai Grand i10,Hyundai,2014,"3,25,000",28000,Petrol,
3,Ford EcoSport Titanium,Ford,2014,"5,75,000",36000,Diesel,
4,Ford Figo,Ford,2012,"1,75,000",41000,Diesel,
5,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol,
6,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel,
7,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol,
8,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol,
9,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol,
10,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol,
11,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000",48660,Diesel,
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,
13,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel,
14,Audi A8,Audi,2017,"10,00,000",4000,Petrol,
15,Audi Q7,Audi,2014,"5,00,000",16934,Diesel,
16,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel,
17,Maruti Suzuki Alto,Maruti,2014,"1,60,000",35550,Petrol,
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel,
19,Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel,
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,
21,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol,
22,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol,
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol,
24,Maruti Suzuki Alto,Maruti,2017,"1,90,000",72000,Petrol,
25,Maruti Suzuki Vitara,Maruti,2016,"2,90,000",15975,Diesel,
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,
27,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel,
28,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel,
29,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel,
30,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol,
31,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol,
32,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol,
33,Toyota Innova 2.0,Toyota,2012,"6,50,000",82000,Diesel,
34,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel,
35,Skoda Yeti Ambition,Skoda,2012,"4,48,000",68000,Diesel,
36,Maruti Suzuki Baleno,Maruti,2017,"5,49,000",32000,Diesel,
37,Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel,
38,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel,
39,Honda City 1.5,Honda,2011,"2,80,000",33000,Petrol,
40,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol,
41,Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel,
42,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel,
43,Honda Amaze 1.5,Honda,2015,"3,45,000",36000,Diesel,
44,Honda City,Honda,2015,"4,99,999",55000,Petrol,
45,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol,
46,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol,
47,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel,
48,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel,
49,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel,
50,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel,
51,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol,
52,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol,
53,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol,
54,Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel,
55,Maruti Suzuki Swift,Maruti,2017,"2,20,000",30874,Petrol,
56,Honda City ZX,Honda,2017,"1,70,000",15000,Diesel,
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol,
58,Ford Figo,Ford,2012,"1,75,000",41000,Diesel,
59,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol,
60,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel,
61,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel,
62,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel,
63,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000",19000,Diesel,
64,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000",60000,Petrol,
65,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol,
66,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol,
67,Chevrolet Spark LS,Chevrolet,2010,"1,10,000",41000,Petrol,
68,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel,
69,Honda City,Honda,2015,"4,48,999",54000,Petrol,
70,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol,
71,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol,
72,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel,
73,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol,
74,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol,
75,Renault Duster,Renault,2014,"4,49,999",50000,Diesel,
76,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol,
77,Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel,
78,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel,
79,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel,
80,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol,
81,Honda Brio,Honda,2012,"2,24,999",30000,Petrol,
82,Volkswagen Vento Highline,Volkswagen,2019,"12,00,000",3600,Diesel,
83,Hyundai i20 Magna,Hyundai,2009,"1,95,000",32000,Petrol,
84,Toyota Corolla Altis,Toyota,2010,"3,51,000",38000,Diesel,
85,Hyundai Verna Transform,Hyundai,2008,"1,60,000",45000,Petrol,
86,Toyota Corolla Altis,Toyota,2009,"2,40,000",35000,Petrol,
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,
88,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol,
89,Skoda Fabia 1.2L,Skoda,2011,"1,55,000",45863,Diesel,
90,BMW 3 Series,BMW,2011,"6,00,000",60500,Petrol,
91,Maruti Suzuki A,Maruti,2011,"1,89,500",12500,Petrol,
92,Toyota Etios GD,Toyota,2013,"3,50,000",60000,Diesel,
93,Ford Figo Diesel,Ford,2012,"2,10,000",35000,Diesel,
94,Maruti Suzuki Swift,Maruti,2014,"3,90,000",35000,Petrol,
95,Chevrolet Beat LT,Chevrolet,2012,"1,35,000",45000,Diesel,
96,BMW 7 Series,BMW,2009,"16,00,000",35000,Petrol,
97,Mahindra XUV500 W8,Mahindra,2013,"7,01,000",38000,Diesel,
98,Hyundai i10 Magna,Hyundai,2014,"2,65,000",18000,Petrol,
99,Hyundai Verna Fluidic,Hyundai,2015,"5,25,000",35000,Diesel,
100,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol,
101,Maruti Suzuki Ertiga,Maruti,2016,"6,35,000",29000,Petrol,
102,Ford EcoSport Titanium,Ford,2014,"5,50,000",44000,Diesel,
103,Maruti Suzuki Ertiga,Maruti,2016,"5,75,000",29000,Petrol,
104,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",42000,Diesel,
105,Maruti Suzuki Alto,Maruti,2012,"1,55,000",14000,Petrol,
106,Hyundai Grand i10,Hyundai,2014,"3,45,000",49000,Diesel,
107,Honda Amaze 1.2,Honda,2014,"3,25,000",42000,Petrol,
108,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel,
109,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel,
110,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol,
111,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol,
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,
113,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol,
114,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol,
115,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel,
116,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol,
117,Maruti Suzuki Dzire,Maruti,2015,"4,50,000",104000,Diesel,
118,Toyota Etios Liva,Toyota,2014,"2,70,000",55000,Petrol,
119,Hyundai i20 Sportz,Hyundai,2011,"3,50,000",33333,Diesel,
120,Chevrolet Spark,Chevrolet,2012,"1,58,400",33600,Petrol,
121,Maruti Suzuki Alto,Maruti,2017,"3,50,000",5600,Petrol,
122,Nissan Micra XV,Nissan,2011,"1,79,000",41000,Petrol,
123,Maruti Suzuki Swift,Maruti,2007,"1,25,000",70000,Petrol,
124,Maruti Suzuki Alto,Maruti,2018,"2,00,000",7500,Petrol,
125,Honda Amaze 1.5,Honda,2013,"2,99,000",45000,Diesel,
126,Maruti Suzuki Alto,Maruti,2015,"2,20,000",38000,Petrol,
127,Chevrolet Beat,Chevrolet,2015,"1,50,000",30000,Petrol,
128,Honda City 1.5,Honda,2010,"2,85,000",35000,Petrol,
129,Ford EcoSport Trend,Ford,2016,"8,30,000",24330,Diesel,
130,Hyundai i20 Asta,Hyundai,2009,"2,10,000",65480,Petrol,
131,Maruti Suzuki Swift,Maruti,2013,"3,40,000",41000,Petrol,
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,
134,Toyota Corolla Altis,Toyota,2010,"2,89,999",70000,Petrol,
135,Toyota Corolla Altis,Toyota,2012,"3,49,999",59000,Petrol,
136,Toyota Innova 2.5,Toyota,2012,"8,49,999",99000,Diesel,
137,Volkswagen Jetta Highline,Volkswagen,2014,"7,49,999",46000,Diesel,
138,Volkswagen Polo Comfortline,Volkswagen,2015,"3,99,999",2800,Petrol,
139,Volkswagen Polo,Volkswagen,2014,"2,74,999",32000,Petrol,
140,Mahindra Scorpio,Mahindra,2015,"9,84,999",22000,Diesel,
141,Renault Duster,Renault,2014,"4,49,999",50000,Diesel,
142,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol,
143,Nissan Sunny,Nissan,2012,"2,24,999",45000,Petrol,
144,Hyundai Elite i20,Hyundai,2018,"5,99,999",21000,Petrol,
145,Renault Kwid,Renault,2016,"2,44,999",11000,Petrol,
146,Renault Duster,Renault,2013,"3,99,999",41000,Diesel,
147,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol,
148,Renault Duster,Renault,2014,"4,74,999",50000,Diesel,
149,Mahindra Scorpio VLX,Mahindra,2011,"4,99,999",66000,Diesel,
150,Maruti Suzuki Alto,Maruti,2018,"3,10,000",3000,Petrol,
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,
152,Datsun Redi GO,Datsun,2016,"2,45,000",7000,Petrol,
153,Maruti Suzuki Swift,Maruti,2010,"1,89,500",38500,Diesel,
154,Fiat Punto Emotion,Fiat,2012,"1,69,500",37200,Diesel,
155,Maruti Suzuki Swift,Maruti,2010,"1,59,500",43200,Diesel,
156,Toyota Etios GD,Toyota,2013,"2,75,000",24800,Petrol,
157,Hyundai i20 Sportz,Hyundai,2014,"3,70,000",60000,Diesel,
158,Hyundai i10 Sportz,Hyundai,2010,"1,68,000",45872,Petrol,
159,Chevrolet Beat LT,Chevrolet,2011,"1,50,000",40000,Diesel,
160,Chevrolet Beat LS,Chevrolet,2011,"1,45,000",45000,Diesel,
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,
162,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel,
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,
164,Toyota Corolla Altis,Toyota,2015,"5,75,000",42000,Petrol,
165,Honda City 1.5,Honda,2014,"5,49,000",39000,Petrol,
166,Maruti Suzuki Swift,Maruti,2011,"2,09,000",47000,Diesel,
167,Hyundai Eon Era,Hyundai,2013,"1,85,000",27000,Petrol,
168,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel,
169,Mahindra XUV500,Mahindra,2014,"6,99,999",52000,Diesel,
170,Honda Brio,Honda,2012,"2,24,999",30000,Petrol,
171,Ford Fiesta,Ford,2011,"2,74,999",55000,Diesel,
172,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel,
173,Honda City,Honda,2015,"5,99,999",30000,Diesel,
174,Maruti Suzuki Wagon,Maruti,2012,"1,99,999",44000,Petrol,
175,Honda City,Honda,2014,"5,44,999",45000,Diesel,
176,Hyundai i20,Hyundai,2009,"1,99,000",31000,Petrol,
177,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel,
178,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000",38000,Diesel,
179,Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel,
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,
181,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel,
182,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol,
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,
184,Maruti Suzuki Ciaz,Maruti,2016,"7,00,000",3350,Petrol,
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,
186,Honda City,Honda,2015,"4,48,999",54000,Petrol,
187,Hyundai Creta 1.6,Hyundai,2017,"8,95,000",32000,Petrol,
188,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000",75000,Diesel,
189,Mahindra Scorpio SLE,Mahindra,2012,"5,65,000",62000,Diesel,
190,Toyota Innova 2.5,Toyota,2006,"3,65,000",73000,Diesel,
191,Maruti Suzuki Alto,Maruti,2011,"1,45,000",41000,Petrol,
192,Maruti Suzuki Wagon,Maruti,2011,"2,10,000",35000,Petrol,
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,
194,Maruti Suzuki Alto,Maruti,2013,"1,25,000",39000,Petrol,
195,Maruti Suzuki Wagon,Maruti,2009,"1,35,000",45000,Petrol,
196,Maruti Suzuki Swift,Maruti,2006,"1,35,000",45000,Petrol,
197,Tata Sumo Victa,Tata,2012,"2,85,000",65000,Diesel,
198,Maruti Suzuki Wagon,Maruti,2010,"1,45,000",54870,Petrol,
199,Maruti Suzuki Alto,Maruti,2010,"1,35,000",34580,Petrol,
200,Volkswagen Passat Diesel,Volkswagen,2009,"4,50,000",97000,Diesel,
201,Renault Scala RxL,Renault,2015,"3,75,000",25000,Diesel,
202,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel,
203,Hyundai Grand i10,Hyundai,2014,"3,65,000",20000,Petrol,
204,Hyundai i20 Active,Hyundai,2015,"5,00,000",18000,Petrol,
205,Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel,
206,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60,Diesel,
207,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel,
208,Mahindra Bolero SLE,Mahindra,2013,"3,30,000",80200,Diesel,
209,Force Motors Force,Force,2015,"5,80,000",3200,Diesel,
210,Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel,
211,Mahindra Jeep CL550,Mahindra,2019,"3,79,000",0,Diesel,
212,Maruti Suzuki Alto,Maruti,2015,"2,19,000",5000,Petrol,
213,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588,Diesel,
214,Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel,
215,Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel,
216,Honda City ZX,Honda,2008,"1,10,000",45000,Petrol,
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,
218,Honda City VX,Honda,2016,"5,19,000",52000,Diesel,
219,Mahindra Thar CRDe,Mahindra,2016,"7,30,000",29000,Diesel,
220,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel,
221,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol,
222,Mercedes Benz GLA,Mercedes,2015,"20,00,000",20000,Diesel,
223,Land Rover Freelander,Land,2015,"21,00,000",30000,Diesel,
224,Renault Kwid RXT,Renault,2017,"3,40,000",5000,Petrol,
225,Tata Aria Pleasure,Tata,2014,"3,90,000",35000,Diesel,
226,Mercedes Benz B,Mercedes,2014,"14,00,000",31000,Petrol,
227,Datsun GO T,Datsun,2016,"2,45,000",7000,Petrol,
228,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel,
229,Tata Indigo eCS,Tata,2016,"3,20,000",175400,Diesel,
230,Honda Jazz VX,Honda,2016,"4,50,000",41000,Petrol,
231,Honda Amaze 1.2,Honda,2014,"3,11,000",33000,Petrol,
232,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel,
233,Honda City,Honda,2012,"3,99,999",45000,Petrol,
234,Honda City,Honda,2015,"5,99,999",39000,Diesel,
235,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol,
236,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol,
237,Force Motors Force,Force,2015,"5,80,000",3200,Diesel,
238,Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel,
239,Hyundai i20 Active,Hyundai,2015,"5,35,000",37000,Diesel,
240,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol,
241,Maruti Suzuki Ciaz,Maruti,2017,"6,99,000",14000,Petrol,
242,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel,
243,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel,
244,Hyundai Eon Sportz,Hyundai,2012,"1,78,000",30000,Petrol,
245,Tata Sumo Gold,Tata,2013,"3,00,000",50000,Diesel,
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,
248,Maruti Suzuki Eeco,Maruti,2015,"2,55,000",9300,Petrol,
249,Chevrolet Enjoy 1.4,Chevrolet,2013,"2,45,000",55000,Diesel,
250,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel,
251,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel,
252,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol,
253,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol,
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,
255,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol,
256,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol,
257,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel,
258,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol,
259,Maruti Suzuki Wagon,Maruti,2015,"2,89,999",22000,Petrol,
260,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol,
261,Nissan Terrano XL,Nissan,2015,"4,99,999",60000,Diesel,
262,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel,
263,Renault Duster 85,Renault,2014,"4,89,999",59000,Diesel,
264,Renault Duster 85,Renault,2015,"5,49,999",19000,Diesel,
265,Maruti Suzuki Dzire,Maruti,2013,"3,80,000",30000,Petrol,
266,Renault Kwid RXT,Renault,2018,"3,25,000",15000,Petrol,
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,
268,Renault Kwid 1.0,Renault,2018,"3,49,999",10000,Petrol,
269,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel,
270,Renault Scala RxL,Renault,2014,"3,49,999",49000,Diesel,
271,Hyundai Grand i10,Hyundai,2014,"4,10,000",41000,Petrol,
