,name,company,year,Price,kms_driven,fuel_type,Unnamed: 6
543,Renault Duster 85PS,Renault,2013,"4,01,919",57923,Diesel,
544,Chevrolet Enjoy,Chevrolet,2014,"4,90,000",30201,Diesel,
545,Maruti Suzuki Alto,Maruti,2017,"2,80,000",6200,Petrol,
546,BMW 5 Series,BMW,2009,"6,50,000",37518,Petrol,
547,Toyota Etios Liva,Toyota,2014,"1,60,000",24652,Petrol,
548,Mahindra Jeep MM,Mahindra,2004,"4,24,000",383,Diesel,
549,Chevrolet Beat LS,Chevrolet,2016,"2,25,000",95000,Diesel,
550,Chevrolet Cruze LTZ,Chevrolet,2011,"3,50,000",35000,Diesel,
551,Jeep Wrangler Unlimited,Jeep,2015,"9,50,000",3528,Diesel,
552,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",52500,Diesel,
553,Hyundai Verna VGT,Hyundai,2010,"2,05,000",47900,Diesel,
554,Maruti Suzuki Omni,Maruti,2012,"1,60,000",14000,Petrol,
555,Maruti Suzuki Celerio,Maruti,2018,"3,10,000",37000,Petrol,
556,Tata Zest Quadrajet,Tata,2017,"1,80,000",90000,Diesel,
557,Mahindra XUV500 W6,Mahindra,2013,"5,49,900",52800,Diesel,
558,Tata Indigo CS,Tata,2016,"1,50,000",104000,Diesel,
559,Hyundai i10 Era,Hyundai,2011,"1,75,000",30000,Petrol,
560,Tata Indigo eCS,Tata,2014,95000,195000,Diesel,
561,Tata Indigo LX,Tata,2016,"2,30,000",104000,Diesel,
562,Tata Indigo eCS,Tata,2016,"2,30,000",104000,Diesel,
563,Tata Indigo Marina,Tata,2004,"1,80,000",70000,Diesel,
564,Hyundai Xcent SX,Hyundai,2015,"4,00,000",43000,Diesel,
565,Hyundai Eon Magna,Hyundai,2013,"1,85,000",23000,Petrol,
566,Renault Duster 85,Renault,2015,"3,85,000",51000,Diesel,
567,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol,
568,Tata Nano LX,Tata,2010,32000,48008,Petrol,
569,Renault Duster 110,Renault,2013,"4,35,000",39000,Diesel,
570,Maruti Suzuki Wagon,Maruti,2010,"2,25,000",40000,Petrol,
571,Maruti Suzuki Swift,Maruti,2006,"1,89,700",48247,Petrol,
572,Maruti Suzuki Ertiga,Maruti,2012,"3,89,700",39000,Diesel,
573,Maruti Suzuki Swift,Maruti,2014,"3,65,000",23000,Petrol,
574,Maruti Suzuki Alto,Maruti,2017,"3,60,000",9400,Petrol,
575,Hyundai i20 Magna,Hyundai,2010,"2,10,000",50000,Petrol,
576,Hyundai i10 Magna,Hyundai,2009,"1,70,000",75000,Petrol,
577,Tata Zest XE,Tata,2017,"3,80,000",70000,Diesel,
578,Mahindra Xylo E8,Mahindra,2009,"2,95,000",64000,Diesel,
579,Toyota Corolla Altis,Toyota,2010,"1,85,000",55000,Petrol,
580,Tata Manza Aqua,Tata,2014,"1,60,000",200000,Diesel,
581,Renault Kwid 1.0,Renault,2018,"2,90,000",2137,Petrol,
582,Tata Venture EX,Tata,2013,"1,00,000",30000,Diesel,
583,Maruti Suzuki Swift,Maruti,2014,"3,15,000",44000,Petrol,
584,Skoda Octavia Classic,Skoda,2006,"1,14,990",65000,Diesel,
585,Maruti Suzuki Omni,Maruti,2012,"1,20,000",160000,LPG,
586,Chevrolet Beat Diesel,Chevrolet,2011,"1,25,000",56000,Diesel,
587,Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel,
588,Hyundai Verna 1.6,Hyundai,2018,"8,55,000",42000,Diesel,
589,Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel,
590,Mahindra Scorpio 2.6,Mahindra,2007,"2,60,000",56000,Diesel,
591,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol,
592,Maruti Suzuki Swift,Maruti,2011,"2,55,000",64000,Petrol,
593,Mahindra Scorpio SLX,Mahindra,2008,"3,00,000",70000,Diesel,
594,Hyundai Grand i10,Hyundai,2014,"3,40,000",25000,Petrol,
595,Hyundai Elite i20,Hyundai,2017,"5,50,000",15000,Petrol,
596,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol,
597,Toyota Innova 2.5,Toyota,2011,"7,50,000",147000,Diesel,
598,Nissan Sunny XL,Nissan,2011,"2,30,000",52000,Petrol,
599,Chevrolet Beat LT,Chevrolet,2012,"1,30,000",90001,Diesel,
600,Maruti Suzuki Alto,Maruti,2017,"2,70,000",21000,Petrol,
601,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel,
602,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel,
603,Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel,
604,Toyota Innova 2.0,Toyota,2012,"6,00,000",80000,Diesel,
605,Maruti Suzuki Swift,Maruti,2010,"1,90,000",74000,Diesel,
606,Hyundai Elite i20,Hyundai,2015,"5,00,000",22000,Petrol,
607,Mahindra XUV500 W10,Mahindra,2016,"10,65,000",41000,Diesel,
608,Volkswagen Polo Trendline,Volkswagen,2015,"3,50,000",25000,Diesel,
609,Toyota Etios Liva,Toyota,2012,"3,50,000",85000,Diesel,
610,Mahindra TUV300 T4,Mahindra,2016,"5,40,000",29500,Diesel,
611,Hyundai Elite i20,Hyundai,2015,"4,70,000",30000,Petrol,
612,Hyundai Santro Xing,Hyundai,2014,"1,79,000",57000,Petrol,
613,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol,
614,Maruti Suzuki Ciaz,Maruti,2016,"6,50,000",50000,Petrol,
615,Hyundai Eon Era,Hyundai,2013,"1,90,000",39700,Petrol,
616,Hyundai Elantra 1.8,Hyundai,2012,"5,00,000",65000,Petrol,
617,Maruti Suzuki Swift,Maruti,2010,"2,70,000",67000,Diesel,
618,Maruti Suzuki Zen,Maruti,2008,"1,25,000",46000,Petrol,
619,Hyundai Eon Era,Hyundai,2012,"1,88,000",38000,Petrol,
620,Hyundai Grand i10,Hyundai,2016,"3,80,000",27000,Petrol,
621,Hyundai Verna Fluidic,Hyundai,2011,"3,65,000",43000,Diesel,
622,Ford EcoSport Trend,Ford,2014,"4,65,000",47000,Petrol,
623,Hyundai i20 Magna,Hyundai,2011,"2,40,000",42000,Petrol,
624,Chevrolet Beat Diesel,Chevrolet,2016,"1,79,999",19336,Diesel,
625,Tata Indica eV2,Tata,2015,"1,40,000",60105,Diesel,
626,Jaguar XF 2.2,Jaguar,2013,"21,90,000",29000,Diesel,
627,Audi Q5 2.0,Audi,2014,"23,90,000",34000,Diesel,
628,BMW 3 Series,BMW,2011,"10,75,000",35000,Diesel,
629,Maruti Suzuki Swift,Maruti,2015,"4,75,000",22000,Petrol,
630,BMW X1 sDrive20d,BMW,2012,"10,25,000",41000,Diesel,
631,Maruti Suzuki S,Maruti,2016,"6,15,000",21000,Diesel,
632,Maruti Suzuki Ertiga,Maruti,2013,"4,75,000",48000,Diesel,
633,Maruti Suzuki Alto,Maruti,2016,"2,70,000",38000,Petrol,
634,Honda City SV,Honda,2014,"4,75,000",34000,Diesel,
635,Volkswagen Vento Comfortline,Volkswagen,2011,"2,40,000",45933,Petrol,
636,Honda City 1.5,Honda,2005,"1,20,000",68000,Petrol,
637,Audi A4 2.0,Audi,2016,"19,00,000",44000,Diesel,
638,Mahindra KUV100,Mahindra,2017,"3,60,000",35000,Diesel,
639,Tata Zest XE,Tata,2018,"4,50,000",102563,Diesel,
640,Mahindra XUV500 W8,Mahindra,2015,"9,00,000",28600,Diesel,
641,Maruti Suzuki Swift,Maruti,2017,"6,50,000",41800,Diesel,
642,Tata Sumo Gold,Tata,2014,"2,75,000",116000,Diesel,
643,Maruti Suzuki Swift,Maruti,2009,"2,10,000",59000,Petrol,
644,Mahindra Scorpio 2.6,Mahindra,2004,"1,75,000",58000,Diesel,
645,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol,
646,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,90,000",42590,Diesel,
647,Renault Duster,Renault,2014,"8,00,000",7400,Diesel,
648,Volkswagen Jetta Comfortline,Volkswagen,2009,"4,50,000",54500,Diesel,
649,Maruti Suzuki Ertiga,Maruti,2012,"10,00,000",200000,Diesel,
650,Audi A4 2.0,Audi,2013,"15,10,000",27000,Diesel,
651,Volvo S80 Summum,Volvo,2015,"18,50,000",42000,Diesel,
652,Toyota Corolla Altis,Toyota,2014,"7,90,000",29000,Petrol,
653,Mitsubishi Pajero Sport,Mitsubishi,2015,"17,25,000",37000,Diesel,
654,Chevrolet Beat LT,Chevrolet,2012,"1,35,000",36000,Petrol,
655,BMW X1,BMW,2011,"10,00,000",34000,Diesel,
656,Datsun Redi GO,Datsun,2018,"2,99,999",7000,Petrol,
657,Mercedes Benz C,Mercedes,2009,"12,25,000",76000,Diesel,
658,Mahindra Scorpio SLX,Mahindra,2004,"1,75,000",60000,Diesel,
659,Volkswagen Vento Comfortline,Volkswagen,2011,"2,00,000",95000,Diesel,
660,Tata Indigo CS,Tata,2017,"2,70,000",50000,Diesel,
661,Ford Figo Petrol,Ford,2019,"5,25,000",0,Petrol,
662,Honda City ZX,Honda,2006,"1,80,000",50000,Petrol,
663,Maruti Suzuki Wagon,Maruti,2008,"1,40,000",68000,Petrol,
664,Ford EcoSport Trend,Ford,2014,"4,00,000",16000,Petrol,
665,Maruti Suzuki Swift,Maruti,2016,"4,99,000",51000,Diesel,
666,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol,
667,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol,
668,Renault Duster RxL,Renault,2015,"5,50,000",36000,Petrol,
669,Maruti Suzuki Swift,Maruti,2014,"3,70,000",11523,Petrol,
670,Maruti Suzuki Baleno,Maruti,2018,"6,90,000",1000,Petrol,
671,Honda WR V,Honda,2009,"2,50,000",60000,Petrol,
672,Tata Indigo CS,Tata,2016,"1,10,000",85000,Diesel,
673,Renault Duster 110,Renault,2013,"4,90,000",38600,Diesel,
674,Mahindra Scorpio LX,Mahindra,2009,"3,20,000",95500,Diesel,
675,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol,
676,Maruti Suzuki Wagon,Maruti,2014,"1,30,000",37458,Petrol,
677,Maruti Suzuki SX4,Maruti,2016,"9,70,000",85960,Diesel,
678,Audi A3 Cabriolet,Audi,2015,"31,00,000",12516,Petrol,
679,Hyundai Eon D,Hyundai,2018,"2,80,000",35000,Petrol,
680,Maruti Suzuki Zen,Maruti,2009,"1,25,000",0,Petrol,
681,Mahindra Scorpio SLX,Mahindra,2008,"2,85,000",80000,Diesel,
682,Hyundai Santro AE,Hyundai,2011,"1,65,000",45000,Petrol,
683,Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel,
684,Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel,
685,Mahindra Xylo D2,Mahindra,2011,"3,90,000",48000,Diesel,
686,Hyundai Santro,Hyundai,2003,60000,51000,Petrol,
687,Chevrolet Beat LT,Chevrolet,2015,"2,15,000",90000,Diesel,
688,Maruti Suzuki Swift,Maruti,2015,"4,75,000",43000,Diesel,
689,Mahindra XUV500 W8,Mahindra,2015,"8,99,000",53000,Diesel,
690,Toyota Fortuner 3.0,Toyota,2013,"14,99,000",97000,Diesel,
691,Maruti Suzuki Alto,Maruti,2013,"2,40,000",20000,Petrol,
692,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol,
693,Maruti Suzuki Swift,Maruti,2014,"2,60,000",120000,Diesel,
694,Hyundai Creta 1.6,Hyundai,2019,"12,00,000",0,Petrol,
695,Hyundai Santro Xing,Hyundai,2007,"1,15,000",46000,Petrol,
696,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol,
697,Mahindra Xylo D2,Mahindra,2011,"3,90,000",56000,Diesel,
698,Hyundai Santro Xing,Hyundai,2007,"1,35,000",42000,Petrol,
699,Tata Indica V2,Tata,2009,90000,30600,Diesel,
700,Hyundai i10 Sportz,Hyundai,2011,"2,20,000",38000,Petrol,
701,Hyundai Grand i10,Hyundai,2017,"4,24,999",2550,Petrol,
702,Hyundai Santro Xing,Hyundai,2007,"1,35,000",47000,Petrol,
703,Honda City 1.5,Honda,2005,95000,41000,Petrol,
704,Nissan Micra XL,Nissan,2017,"4,30,000",62500,Diesel,
705,Honda City 1.5,Honda,2005,"1,15,000",68000,Petrol,
706,Maruti Suzuki Alto,Maruti,2015,"2,15,000",50000,Petrol,
707,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol,
708,Maruti Suzuki Ertiga,Maruti,2012,"5,00,000",48000,Diesel,
709,Tata Indica eV2,Tata,2012,85000,55000,Diesel,
710,Maruti Suzuki Omni,Maruti,2013,"1,65,000",25000,Petrol,
711,Hyundai Eon Era,Hyundai,2014,"2,00,000",28400,Petrol,
712,Hyundai Eon,Hyundai,2014,"2,00,000",28000,Petrol,
713,Maruti Suzuki Swift,Maruti,2015,"4,25,000",42000,Diesel,
714,Hyundai Verna 1.6,Hyundai,2012,"6,00,000",29000,Diesel,
715,Chevrolet Tavera LS,Chevrolet,2005,"1,30,000",68485,Diesel,
716,Tata Tiago Revotron,Tata,2018,"4,30,000",3500,Petrol,
717,Tata Tiago Revotorq,Tata,2019,"5,68,500",0,Petrol,
718,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol,
719,Mahindra KUV100 K8,Mahindra,2018,"5,60,000",8000,Diesel,
720,Ford EcoSport Titanium,Ford,2014,"5,90,000",34000,Diesel,
721,Hindustan Motors Ambassador,Hindustan,1995,"7,50,000",37000,Petrol,
722,Ford Fusion 1.4,Ford,2007,"1,25,000",85455,Diesel,
723,Hyundai Santro Xing,Hyundai,2007,"1,35,000",46000,Petrol,
724,Hyundai Santro,Hyundai,2002,60000,47000,Petrol,
725,Fiat Linea Emotion,Fiat,2009,"1,20,000",64000,Petrol,
726,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol,
727,Maruti Suzuki Omni,Maruti,2017,"2,40,000",8000,Petrol,
728,Tata Indica V2,Tata,2012,"1,15,000",64000,Diesel,
729,Mahindra Scorpio S4,Mahindra,2015,"7,95,000",63000,Diesel,
730,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol,
731,Mahindra Xylo D2,Mahindra,2009,"3,00,000",62000,Diesel,
732,Hyundai Grand i10,Hyundai,2014,"3,20,000",41000,Petrol,
733,Maruti Suzuki Alto,Maruti,2015,"2,65,000",14000,Petrol,
734,Toyota Corolla,Toyota,2006,"1,60,000",40000,Petrol,
735,Hyundai Eon Magna,Hyundai,2017,"3,00,000",1600,Petrol,
736,Tata Sumo Grande,Tata,2010,"1,30,000",90000,Diesel,
737,Maruti Suzuki Swift,Maruti,2011,"2,50,000",58000,Diesel,
738,Volkswagen Polo Highline1.2L,Volkswagen,2013,"3,80,000",27000,Petrol,
739,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol,
740,Tata Tiago Revotron,Tata,2017,"4,00,000",31000,Petrol,
741,Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel,
742,Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel,
743,Tata Indigo eCS,Tata,2016,"1,30,000",150000,Diesel,
744,Chevrolet Beat LS,Chevrolet,2014,"1,89,000",31000,Diesel,
745,Mahindra Xylo E8,Mahindra,2011,"3,65,000",43000,Diesel,
746,Hyundai Eon D,Hyundai,2013,"1,70,000",20000,Petrol,
747,Tata Sumo Gold,Tata,2013,"2,15,000",100000,Petrol,
748,Tata Nano,Tata,2013,60000,7000,Petrol,
749,Hyundai Elite i20,Hyundai,2017,"5,99,999",31000,Petrol,
750,Hyundai i10 Magna,Hyundai,2009,"4,00,000",33000,Petrol,
751,Hyundai Creta,Hyundai,2016,"9,00,000",60000,Diesel,
752,Volkswagen Polo,Volkswagen,2013,"2,99,999",48000,Diesel,
753,Maruti Suzuki Dzire,Maruti,2014,"3,74,999",33000,Petrol,
754,Tata Bolt XM,Tata,2015,"6,00,000",15000,Petrol,
755,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol,
756,Maruti Suzuki Alto,Maruti,2005,"1,00,000",40000,Petrol,
757,Maruti Suzuki Ritz,Maruti,2010,"1,50,000",38000,Diesel,
758,Maruti Suzuki Alto,Maruti,2017,"2,25,000",12500,Petrol,
759,Maruti Suzuki Dzire,Maruti,2009,"2,10,000",42000,Petrol,
760,Hyundai i20 Asta,Hyundai,2014,"4,25,000",31000,Petrol,
761,Maruti Suzuki Swift,Maruti,2008,"1,62,000",60000,Diesel,
762,Tata Indica V2,Tata,2005,60000,80000,Diesel,
763,Mahindra Scorpio VLX,Mahindra,2014,"6,50,000",77000,Diesel,
764,Toyota Innova 2.5,Toyota,2012,"7,50,000",75000,Diesel,
765,Mahindra Xylo E8,Mahindra,2010,"3,75,000",40000,Diesel,
766,Hyundai i20 Magna,Hyundai,2011,"2,30,000",47000,Petrol,
767,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol,
768,Mahindra KUV100,Mahindra,2016,"3,80,000",26500,Petrol,
769,Mahindra KUV100 K8,Mahindra,2019,"5,60,000",2875,Petrol,
770,Datsun Go Plus,Datsun,2016,"2,85,000",13900,Petrol,
771,Ford Endeavor 4x4,Ford,2019,"29,00,000",9000,Diesel,
772,Tata Indica V2,Tata,2005,39999,80000,Diesel,
773,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol,
774,Maruti Suzuki Wagon,Maruti,2016,"3,95,000",20000,Petrol,
775,Maruti Suzuki Swift,Maruti,2008,"1,75,000",58000,Diesel,
776,Maruti Suzuki Alto,Maruti,2019,"4,00,000",1500,Petrol,
777,Toyota Innova 2.5,Toyota,2011,"7,50,000",75000,Diesel,
778,Maruti Suzuki Alto,Maruti,2016,"2,50,000",2450,Petrol,
779,Maruti Suzuki Alto,Maruti,2019,"4,25,000",1625,Petrol,
780,Volkswagen Polo Highline1.2L,Volkswagen,2017,"5,25,000",45000,Petrol,
781,Mahindra Logan,Mahindra,2009,"1,30,000",65000,Diesel,
782,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol,
783,Mahindra Scorpio,Mahindra,2011,"4,75,000",60123,Diesel,
784,Chevrolet Sail 1.2,Chevrolet,2013,"3,00,000",28000,Petrol,
785,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol,
786,Maruti Suzuki Wagon,Maruti,2006,"1,00,000",7000,Petrol,
787,Hyundai Eon,Hyundai,2018,"2,60,000",25000,Petrol,
788,Tata Manza,Tata,2015,"1,00,000",100000,Diesel,
789,Toyota Etios G,Toyota,2013,"2,65,000",42000,Petrol,
790,Hyundai Getz Prime,Hyundai,2009,"1,15,000",20000,Petrol,
791,Toyota Qualis,Toyota,2003,"1,80,000",100000,Diesel,
792,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol,
793,Tata Indica eV2,Tata,2016,50500,91200,Diesel,
794,Honda City 1.5,Honda,2009,"2,70,000",55000,Petrol,
795,Tata Zest XE,Tata,2017,"2,90,000",120000,Diesel,
796,Mahindra Quanto C4,Mahindra,2013,"3,25,000",63000,Diesel,
797,Tata Indigo eCS,Tata,2016,"1,60,000",104000,Diesel,
798,Maruti Suzuki Swift,Maruti,2016,"3,50,000",146000,Diesel,
799,Hyundai Elite i20,Hyundai,2011,"2,90,000",40000,Petrol,
800,Hyundai i20 Select,Hyundai,2011,"2,90,000",40000,Petrol,
801,Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000",100800,Diesel,
802,Maruti Suzuki Dzire,Maruti,2016,"3,25,000",150000,Diesel,
803,Hyundai Elite i20,Hyundai,2018,"5,10,000",2100,Petrol,
804,Honda City VX,Honda,2016,"8,60,000",95000,Petrol,
805,Maruti Suzuki Dzire,Maruti,2016,"4,50,000",2500,Diesel,
806,Hyundai Getz,Hyundai,2006,"1,25,000",80000,Petrol,
807,Mercedes Benz C,Mercedes,2006,"5,00,001",15000,Petrol,
808,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol,
809,Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel,
810,Skoda Fabia,Skoda,2009,"1,10,000",45000,Petrol,
811,Maruti Suzuki Ritz,Maruti,2011,"2,70,000",50000,Petrol,
812,Tata Indica V2,Tata,2009,"1,10,000",30000,Diesel,
813,Toyota Corolla Altis,Toyota,2009,"3,00,000",132000,Petrol,
814,Tata Zest XM,Tata,2018,"2,60,000",27000,Diesel,
815,Mahindra Quanto C8,Mahindra,2013,"3,90,000",40000,Diesel,
